,filename,utterances,timestamps
0,c20.cha,"['een meisje die gaat met de gieter .', 'die doet die gaat de kraan opendoen .', 'en die gaat hem volmaken .', 'en dan gaat hij dan gaat de dokter en de meisje bloemetjes zaaien bloemetjes xxx .', 'en de dokter die plukt een bloem .', 'en . . hij geeft de bloem aan dat meisje .', 'en hij . doet hem op zijn . hoofd .', 'een piraat die gaat voetballen .', 'die schopt hem in het water .', 'en dan komt de ridder .', 'die gaat de bal vangen .', 'die heeft de bal in het net .', 'en daar heeft de piraat de bal weer terug .', 'een prinses die heeft een centje één cent .', 'die krijgt een ijsje .', 'dat geeft hij aan de heks .', 'dan wordt de heks blij .', 'dan gaat hij hem opeten .', 'dan gaat hij nog eentje . doen .', 'een indiaan die wil een appel hebben .', 'hij doet zijn ladder op de boom .', 'en hij pakt hem .', 'en dan doet hij en dan gaat de cowboy hem wegpakken .', 'en dan gaat de cowboy naar een andere appelboom toe .', 'en dan moet en en en dan denkt hij dat zijn ladder weg is .', 'en dan is hij ook weg .']","[['740', '3620'], ['5000', '9500'], ['9760', '11560'], ['14580', '31120'], ['22990', '26630'], ['27410', '37970'], ['40730', '69110'], ['73130', '82230'], ['83990', '86850'], ['90070', '92210'], ['96550', '98330'], ['99730', '126570'], ['124240', '137560'], ['153620', '154160'], ['146480', '153260'], ['154640', '159240'], ['165360', '167280'], ['168380', '174100'], ['175840', '181100'], ['217990', '220730'], ['221650', '225870'], ['227110', '230270'], ['233820', '237900'], ['239000', '249480'], ['252000', '257880'], ['257720', '259020']]"
1,c08.cha,"['een meisje gaat de water bloemetjes geven .', 'en die doet er water in .', 'en die wil een bloemetje plukken aan de dokter .', 'en die pakt het bloemetje .', 'en geeft hem aan de dokter .', 'en toen zei ze', 'en toen was ze zo lief .', 'de piraat gaat met de bal spelen .', 'en toen gooide die in het water .', 'en toen begon hij te huilen .', 'en toen kwam de ridder hem pakken .', 'en toen was toen was de piraat zo blij .', 'en toen ging hij hem uit het water halen .', 'en toen was hij heel blij .', 'de prinses ging een ijsje halen met een centje geven .', 'en toen vond ze het lekker .', 'en toen geeft ze aan de heks .', 'en toen was de heks zo blij .', 'en en toen ging de heks hem opeten .', 'en toen wilde ze nog één voor haarzelf kopen .', 'de indiaan ging een appeltje halen .', 'en toen klom die met de ladder naar boven .', 'en toen kwam de cowboy eraan .', 'en toen ging de boom krakken .', 'en toen haalde die ladder weg .', 'en toen ging de boom krakken .', 'en toen zat hij helemaal alleen in de boom .', 'en toen zei die', 'help .']","[['1460', '4380'], ['6880', '8880'], ['13100', '17480'], ['19520', '21840'], ['22140', '23880'], ['26640', '29680'], ['30180', '36260'], ['59990', '63470'], ['65670', '68330'], ['69270', '73330'], ['73550', '75890'], ['79250', '83990'], ['85610', '90550'], ['92550', '95370'], ['115650', '120130'], ['121630', '124270'], ['126130', '129090'], ['130650', '135190'], ['139170', '143290'], ['145650', '151910'], ['169950', '173050'], ['174910', '177910'], ['180270', '182630'], ['183390', '185230'], ['187170', '191350'], ['191490', '192830'], ['193610', '200030'], ['201310', '202950'], ['203410', '203910']]"
2,c09.cha,"['de elf heeft een gieter .', 'ze vult hem met water .', 'en ze maakt de bloemetjes nat .', 'en de dokter kijkt erbij .', 'de dokter plukt hem .', 'en de dokter geeft hem aan de fee .', 'ik bedoel elf .', 'en de elf kijkt blij .', 'de piraat heeft een bal .', 'hij voetbalt ermee .', 'de bal komt in het water .', 'en de ridder komt eraan .', 'de ridder heeft een net .', 'daar vangt hij hem ermee uit .', 'en de piraat kijkt weer blij met zijn bal .', 'de prinses koopt een ijsje voor één euro .', 'ze eet hem op .', 'ze geeft hem aan de heks .', 'de heks is heel blij .', 'de heks eet hem op .', 'en de prinses koopt er nog een .', 'de indiaan gaat naar de boom .', 'hij klimt op zijn ladder in de boom .', 'de cowboy komt eraan .', 'en hij haalt de trap weg .', 'nou kan de indiaan er niet meer af .', 'help .']","[['690', '3030'], ['7590', '9290'], ['13530', '16090'], ['16130', '17910'], ['21800', '23600'], ['24240', '29680'], ['29820', '30800'], ['33880', '35400'], ['59390', '61570'], ['61610', '65590'], ['65870', '70010'], ['69930', '71210'], ['72850', '76890'], ['78810', '80790'], ['82390', '86290'], ['114340', '117880'], ['118820', '122760'], ['123700', '126580'], ['127320', '130940'], ['162960', '163560'], ['167740', '168360'], ['166720', '168960'], ['169320', '174160'], ['174700', '178720'], ['179880', '184800'], ['187990', '189950'], ['191450', '194150']]"
3,c21.cha,"['ze heeft de gieter vast .', 'ze gaat water indoen .', 'de zuster die komt .', 'de zuster plukt bloemetjes .', 'de zuster heeft iets een bloemetje in haar hand .', 'ze doet het bloemetje in haar haar .', 'een piraat heeft de bal vast .', 'schopt hem in het water .', 'komt de ridder .', 'de ridder heeft iets in de hand .', 'de ridder vangt de bal uit het water .', 'piraat heeft de bal weer vast .', 'de prinses wil een ijsje kopen .', 'ze heeft een ijsje in haar hand .', 'ze geeft het ijsje aan de heks .', 'de heks heeft een ijsje in de hand .', 'de heks likt erop .', 'ze koopt nog een ijsje .', 'de indiaan wil met de boom .', 'hij klimt op de ladder .', 'de cowboy kwam .', 'hij deed de ladder eraf .', 'en nam hem mee .', 'hij wilde er niet meer vanaf .']","[['1260', '2980'], ['3200', '8580'], ['10360', '16040'], ['20200', '22020'], ['24780', '31520'], ['34600', '36400'], ['56370', '58510'], ['60010', '63270'], ['64450', '68230'], ['69260', '77220'], ['77480', '83360'], ['117750', '118270'], ['106140', '111520'], ['115380', '118680'], ['118540', '124380'], ['127740', '131560'], ['133440', '136780'], ['138020', '140700'], ['159630', '161310'], ['165340', '166200'], ['171560', '173360'], ['174460', '179060'], ['180400', '182900'], ['215640', '216220']]"
4,c23.cha,"['danseres . met een gieter .', 'doet hij het water in de gieter .', 'doet hij een kraan in de gieter .', 'en dan giet ze de bloemen .', 'en dan plukt de dokter een bloem .', 'en dan geeft hij aan de danseres .', 'dan doet hij het op zijn haar .', 'een piraat . met een voetbal .', 'en hij ligt in het water .', 'en dan komt de ridder met een net .', '. en de piraat .', 'en dan vangt de ridder die bal uit het water .', 'en dan heeft de piraat weer de voetbal .', 'een prinses bij de ijsco .', 'en nu heeft hij een ijsje .', 'en dan komt de heks .', 'en die vraagt aan de aan aan de prinses', 'mag ik dat ijsje ?', 'dankjewel .', 'zei de heks .', 'toen at de heks die op .', 'toen kwam de prinses weer bij de ijsco .', 'de indiaan bij de appelboom .', 'dan pakt hij een appel .', 'en dan komt de cowboy .', 'en die pakt de ladder . af .', 'toen nam de cowboy die mee .', 'en toen zei die de indiaan', '& oei de ladder is weg .']","[['1220', '2960'], ['7680', '9780'], ['10060', '13920'], ['18020', '20880'], ['21440', '28680'], ['31900', '47760'], ['65000', '65600'], ['65940', '74680'], ['76120', '85640'], ['87120', '97160'], ['98160', '99180'], ['99520', '106900'], ['108800', '112660'], ['159700', '160320'], ['177930', '181630'], ['183410', '185950'], ['185990', '190110'], ['190490', '191390'], ['191490', '191990'], ['195230', '196230'], ['200600', '203460'], ['204940', '209080'], ['254800', '255360'], ['248980', '250080'], ['250040', '251220'], ['252770', '255130'], ['256670', '261150'], ['261790', '267110'], ['267610', '269190']]"
5,c22.cha,"['deze weet ik niet .', 'hij gaat de plantjes water geven .', 'en hij gaat naar de kraan .', 'en gaat de kraan aandraaien .', 'en dan komt er water uit .', 'en dit weet ik niet .', 'de dokter wil een bloem .', 'en hij geeft die aan de . . danseres .', 'hij stopt hem in haar haren .', '& ehm Pietpiraat wil de bal .', 'en hij schopt de bal in de water .', 'maar hij is verdrietig .', '& ehm dan xxx zegt', 'dat is een beetje dom .', 'maar ik heb mijn bal in de water', 'en ik heb wel een net .', 'ik kan hem wel opvangen .', 'zei de piraat .', 'de prinses wil een ijsje .', 'hij moet één euro betalen .', 'dan krijgt hij een ijsje .', '& ehm . .. de prinses zei', 'ik wil wit .', 'ik wil donker groen .', 'en ik wil grijs .', 'en toen zei de toen kwam er een heks aan .', 'en die wilde die een ijsje die ijsje .', 'dus toen zei de prinses', 'jij mag die wel .', 'ze had hem xxx de heks', 'lekker .', 'ging die hem opeten .', 'weer een centje geven voor zichzelf .', 'de indiaan wil een appel', 'hij klimt op het laddertje .', 'en pakt de appel .', 'en kwam er een cowboy cowboy aan die dat appeltje wilde .', 'en toen kwam hij . & ehm .. .', 'de cowboy zei & ehm .. .', 'hij gaat de laddertje wegpakken .', 'en .. & ehm .. .', 'en die gaat hij daar even wachten .', 'en gaat hij zelf even appeltje pakken .', 'en dan gaat hij bijna vallen .']","[['950', '3290'], ['7810', '13250'], ['17390', '18790'], ['18500', '21980'], ['22600', '23940'], ['27520', '32680'], ['42460', '45260'], ['49700', '54040'], ['81650', '92870'], ['94760', '95980'], ['96580', '100180'], ['103100', '108100'], ['115660', '116080'], ['116380', '117580'], ['118920', '121060'], ['125380', '129060'], ['129080', '130480'], ['138710', '145810'], ['162730', '164710'], ['166630', '168350'], ['168690', '170070'], ['182180', '183500'], ['184220', '185000'], ['185180', '189140'], ['189660', '191160'], ['193460', '197380'], ['197360', '202740'], ['204060', '206180'], ['207060', '208220'], ['212200', '214440'], ['214980', '215480'], ['217060', '218820'], ['232280', '236620'], ['265110', '266810'], ['268170', '272090'], ['272670', '274110'], ['277210', '283410'], ['289160', '291700'], ['291700', '298740'], ['303500', '306640'], ['310960', '311460'], ['308760', '318120'], ['318240', '320740'], ['321040', '325900']]"
6,c26.cha,"['ja .', 'nee .', 'gaat ze water erin doen .', 'en dan gaat ze de bloemeren bloemetjes water geven .', 'gaat ze en dan gaat de zuster ofzo een bloemetje pakken .', 'en die geeft ze aan de', 'doet ze in zijn haar .', 'piraat gaat voetballen .', 'en hij schopt hem .', 'en hij ligt in de water .', 'weet ik niet .', 'gaat hij de bal vangen .', 'dan is hij blij .', 'gaat de prinses een ijsje kopen .', 'weet ik niet .', 'dan geeft ze hem aan de heks .', 'gaat de heks het ijsje opeten .', 'nu gaat de heks zijn ijsje opeten .', 'gaat de prinses weer een ijsje kopen .', 'gaat de indiaan appels uit de boom halen .', 'en dan klimt hij in de boom .', 'dan gaat hij een appel opeten pakken .', 'dan gaat de ladder weg .', 'dan gaat de cowboy .. hem gebruiken .', 'nu kan die niet meer naar beneden .']","[['17260', '17760'], ['43250', '43750'], ['58470', '62090'], ['69280', '74400'], ['80110', '86390'], ['89570', '92630'], ['101970', '105850'], ['132760', '134000'], ['140380', '141680'], ['143880', '154540'], ['186580', '187980'], ['197060', '199780'], ['200460', '205260'], ['221600', '224880'], ['249060', '251680'], ['265240', '270380'], ['294650', '300210'], ['342810', '346110'], ['349650', '352490'], ['373970', '378710'], ['381900', '385640'], ['386720', '392600'], ['396780', '399700'], ['406310', '418990'], ['419770', '423610']]"
7,c32.cha,"['.. ja .', 'die gaat de planten water geven .', 'de danseres gaat .. de', 'ja .', 'maar ik weet niet hoe dat heet .', 'ja gieter .', 'dat wist ik niet meer .', 'nee .', 'danseres gaat de bloemetjes water geven .', 'en toen ging de', 'hoe heet hij ook alweer ?', 'zuster een bloemetje plukken .', '& ehm . en toen gaf ze hem aan de danseres .', 'en toen had ze hem op zijn haar gedaan .', 'de Pietpiraat gaat met de bal spelen .', 'en hij schopt hem in het water .', 'en hij huilde .', 'en deze vind ik een beetje moeilijk .', 'ja .', 'de ridder gaat de Pietpiraat in de gevangenis doen .', 'en hij vist de bal eruit .', 'uit het water .', 'en toen had hij weer de bal .', 'de prinses wilde een ijsje kopen .', 'en toen ging ze hem opeten .', 'en toen had hij hem aan de heks gegeven .', 'en toen ... ging die hem opeten .', 'en toen ging die & ehm eraan likken .', 'en toen wilde die nog een ijsje .', 'de .', 'ja .', 'ja .', '& ehm indiaan !', 'hij gaat een appel uit de boom pakken .', 'en toen ging die op de trappen klimmen .', 'en toen had hij [///] en toen zat hij in de boom .', 'en toen pakte die de trap weg . de cowboy .', 'en toen wilde [///] durf die er niet uit .', 'en toen zei die', 'help !']","[['39520', '40020'], ['14940', '20200'], ['25820', '32420'], ['49780', '50280'], ['50320', '53440'], ['55080', '55720'], ['56040', '57420'], ['57300', '57800'], ['81860', '83960'], ['86780', '92740'], ['92980', '94240'], ['94720', '100120'], ['103690', '111650'], ['113510', '118930'], ['142530', '146170'], ['146630', '153750'], ['156030', '158970'], ['164410', '167750'], ['168410', '168910'], ['171350', '175870'], ['176190', '182570'], ['183330', '184710'], ['187750', '190390'], ['214520', '217700'], ['218560', '223800'], ['225220', '229360'], ['233100', '247140'], ['269460', '281200'], ['287460', '288060'], ['281320', '282900'], ['297960', '298460'], ['300640', '301140'], ['311420', '311920'], ['316500', '319260'], ['321140', '324240'], ['325560', '330220'], ['331900', '337060'], ['339300', '343440'], ['344120', '350220'], ['350540', '351040']]"
8,c33.cha,"['.. hij heeft een gieter .', 'hij geeft de bloemen water .', 'de ziekenhuis die pakt het .', 'en nu heeft hij de xxx uit .', 'hij doet een bloem op zijn . haar .', 'de piraat heeft een bal in zijn hand .', 'hij gaat ermee voetballen .', 'hij is in het water gevallen .', 'pakt een visse .', 'de ridder heeft de bal .', 'de piraat heeft hem weer .', 'de tovenaar koopt een ijsje .', 'die eet hem op .', 'en hij geeft hem aan iemand .', 'hij hij heeft een ijs in zijn hand .', 'en hij eet hem op .', 'dan koopt hij zelf nog een ijsje .', 'hij pakt een appel .', 'de indiaan die klimt op de trap .', 'en de indiaan die pakt weer de appel .', '... de meneer die pakt de trap af .', 'en die gaat naar de andere appelboom .', 'en en en hij hij is verdrietig .']","[['12100', '15960'], ['31880', '35220'], ['42910', '44070'], ['46550', '55830'], ['69730', '77410'], ['102910', '111270'], ['116330', '118990'], ['157140', '157780'], ['152580', '153960'], ['159520', '162840'], ['164540', '168800'], ['197980', '200020'], ['204160', '206060'], ['207520', '215300'], ['236000', '242260'], ['244620', '248600'], ['287330', '287910'], ['278950', '287450'], ['290550', '299510'], ['300080', '303980'], ['311480', '316100'], ['322820', '325300'], ['327520', '349700']]"
9,c27.cha,"['water geven aan de bloemen .', 'onder de kraan .', 'en dan geeft ze de bloemen water .', 'die dokter plukt de bloemen .', 'die bloemen geeft ze aan dat meisje .', 'die doet ze op zijn haar .', 'met een bal aan het spelen .', 'die schopt hem weg .', 'hij huilt .', 'de ridder pakt hem .', 'met een net .', 'de bal .', 'hij vangt die bal op .', 'en dan hebt hij de bal weer .', 'prinses .', 'een ijsje .', 'hij eet die ijsje op .', 'dat ijsje geeft ze aan het de heks .', 'en de heks eet hem op .', 'hij eet hem op .', 'dan geeft hij een euro .', 'de .', '. weet ik niet meer .', 'hij gaat in de boom klimmen .', 'en dan klimt hij in de boom .', 'en dan haalt hij een appel .', 'en dan haalt hij de ladder weg .', 'en dan kan hij niet meer naar beneden .', 'en de tak gaat breken .']","[['20260', '22720'], ['26840', '29580'], ['29900', '36460'], ['42960', '45540'], ['45900', '51760'], ['52520', '58840'], ['81830', '87130'], ['90750', '92090'], ['92630', '97650'], ['101330', '104890'], ['112070', '113410'], ['113690', '114950'], ['117380', '119640'], ['124480', '126340'], ['154980', '155480'], ['156540', '160880'], ['162780', '164720'], ['168680', '173120'], ['176390', '178470'], ['182170', '183770'], ['185790', '188610'], ['211940', '212440'], ['223700', '227840'], ['232120', '235660'], ['238280', '240440'], ['242780', '244580'], ['246080', '250580'], ['254330', '256490'], ['257150', '261370']]"
10,c19.cha,"['een meisje een danseres geeft een beetje water aan de bloemetjes .', 'toen die op was ging ze weer water in doen .', 'toen . ging ze weer de bloemetjes water geven .', 'en toen kwam een dokter bij haar .', 'en de dokter plukte een bloemetje .', 'gaf het aan het meisje .', 'ze deed het in haar haar .', 'een piraat die had een bal vast .', 'hij schopte ermee .', 'en hij viel in het water .', 'de piraat moest huilen .', 'maar opeens kwam er een ridder bij de piraat staan .', 'en die zei', 'ik heb wel een net .', 'misschien kan ik hem wel vangen uit het water .', 'en toen ging die ridder hem uit het water uitvangen .', 'en toen keek die piraat weer blij .', 'want hij had zijn bal .', 'een prinses wilde graag een ijsje .', 'ze gaf een cent .', 'toen kreeg ze een ijsje .', 'wat was dat lekker .', 'ze gaf het aan een heks .', 'en toen hapte de heks .', 'en toen ging het prinsesje nog een ijsje halen .', 'een indiaan kwam bij een boom met een ladder .', 'hij & ehm zette de ladder tegen de boom .', 'hij klom erin .', 'plukte een appel .', 'komt de cowboy .', 'die haalde de ladder weg .', 'en toen nam die de ladder mee .', 'riep de indiaan .']","[['4190', '10410'], ['11050', '16750'], ['19690', '23690'], ['23970', '25910'], ['27850', '31770'], ['33050', '36170'], ['69100', '69700'], ['68780', '77480'], ['80040', '95280'], ['87740', '90240'], ['89860', '91660'], ['92200', '96100'], ['97620', '98620'], ['99120', '100300'], ['100280', '102680'], ['104140', '107920'], ['110200', '140580'], ['140080', '140680'], ['146570', '148870'], ['148990', '150190'], ['151930', '153910'], ['154790', '155910'], ['157730', '159970'], ['162750', '165090'], ['174670', '205150'], ['207420', '212160'], ['213420', '218820'], ['219400', '220300'], ['222420', '226060'], ['228790', '229970'], ['230190', '233170'], ['235450', '238490'], ['243330', '245310']]"
11,c31.cha,"['. een danseres . die de bloemen water geeft .', 'en daar doet ze het water in de kraan . in de gieter .', 'en daar gaat ze de bloemen gieten .', 'en de dokter staat erbij .', 'en de de en de dokter gaat die plukken .', 'en hij geeft ze aan aan de danseres .', 'en hij stopt en het meisje stopt hem in haar haar .', 'een piraat .', 'en hij heeft de bal .', 'en daar schopt hij met de bal .', 'en daar komt de kasteelwachter .', 'en hij helpt . die piraat .', 'helpt .', 'en daar heeft [/] en daar heeft de kasteelwachter een net .', 'en hij net raapt de bal op met het net .', 'en daar heeft hij zijn bal terug .', 'dat meisje wil een ijsje kopen .', 'en daar heeft ze een ijsje .', 'en hij geeft hem aan de heks .', 'en en daar heeft hij hem in zijn handen .', 'en daar likt eet hij hem op .', 'oh !', 'en daarna koopt ze nog een ijsje .', 'de die indiaan wil appels plukken .', 'en daar klimt hij met de ladder in de boom .', 'en daar heeft hij een appel .', 'en en de cowboy die haalt de ladder weg .', 'en en nu zit die indiaan in de boom .', 'en daar is kijk en en en daar is hij een beetje boos .']","[['300', '5600'], ['6140', '13120'], ['13340', '16420'], ['17420', '19400'], ['21160', '24340'], ['24980', '29000'], ['30660', '35360'], ['58540', '59340'], ['62920', '64260'], ['64360', '68520'], ['71340', '73500'], ['74030', '77450'], ['78270', '78770'], ['79530', '85610'], ['89390', '94230'], ['94690', '98270'], ['128560', '133440'], ['134220', '136940'], ['137960', '141460'], ['142760', '147380'], ['150000', '153660'], ['154760', '155260'], ['155360', '160580'], ['184390', '190530'], ['192780', '197040'], ['197360', '200140'], ['201300', '206760'], ['209440', '213380'], ['216200', '223440']]"
12,c30.cha,"['gaat bloemen water geven .', 'gaat hij nieuwe water daar weer in doen .', 'dokter gaat komen .', 'dokter gaat bloemen plukken .', 'een piraat .', 'hij gaat voetbal spelen .', 'hij gaat in het water schoppen .', '& ehm ... verdrietig .', 'hij gaat weer een bal pakken .', 'hij heeft hem .', 'hij gaat weer voetballen .', 'hij wil een ijsje kopen .', 'prinses gaat een ijsje likken .', 'wil je ook ijsje ?', 'dan gaat hij likken .', 'hij gaat een centje geven .', 'hij gaat appels pikken .', 'xxx ladder gaat vallen .', 'die gaat xxx omhoog doen .', 'hij gaat weer blij worden .', 'hij wordt nu xxx verdrietig .']","[['27820', '30480'], ['39650', '41390'], ['45450', '50530'], ['56910', '59610'], ['141030', '141790'], ['145410', '149870'], ['156030', '159790'], ['162310', '162810'], ['205740', '207740'], ['210620', '213080'], ['218430', '219490'], ['220210', '232750'], ['272440', '276320'], ['281490', '284090'], ['295450', '296570'], ['305350', '307710'], ['371900', '374080'], ['390810', '391770'], ['408200', '411860'], ['435200', '437100'], ['437440', '440720']]"
13,c18.cha,"['danseres die gaat de bloemetjes water geven .', 'die ging met de gieter naar een kraan .', 'ze ging de bloemetjes water geven .', 'de dokter vroeg of ze een bloemetje uit het gras mocht plukken .', 'en ze gaf het aan de danseres .', 'danseres deed de bloem in haar haar .', 'een piraat die was met de bal aan het spelen .', 'en hij ging de bal schoppen .', 'de bal die viel in het water .', 'de piraat moest huilen .', 'en een ridder kwam er aan met een net .', 'en die wilde de bal opvissen .', 'de piraat werd weer blij omdat de ridder de bal weer te pakken had .', 'de piraat was heel blij .', 'een prinsesje die ging naar de ijscoman .', 'ze kreeg een ijsje .', 'en en ze ging hem opeten .', 'toen kwam de heks er aan .', 'de heks die pakte het ijsje .', 'en de heks die ging het ijsje opeten .', 'toen ging de prinsesje nog een keer naar naar de ijscoman .', 'de indiaan die pakte een ladder .', 'en ging naar de boom toe .', 'hij zette de ladder tegen de stam aan .', 'en klom naar boven .', 'de indiaan die pakte een appel .', 'en toen kwam de de cowboy eraan .', 'en die pakte de ladder weg .', 'en de cowboy die ging hem door tegen nog een boom aandoen .']","[['2600', '4640'], ['5860', '13640'], ['18220', '20400'], ['21600', '30040'], ['31840', '38240'], ['41190', '71670'], ['79020', '82200'], ['83160', '87640'], ['89180', '94340'], ['94300', '95660'], ['100020', '102720'], ['102740', '106240'], ['106500', '114720'], ['115680', '119380'], ['150450', '153350'], ['157370', '159170'], ['159510', '161570'], ['162330', '171430'], ['172020', '177500'], ['178340', '184000'], ['216890', '217510'], ['225970', '228690'], ['229690', '231510'], ['234750', '238010'], ['237890', '239010'], ['240530', '246690'], ['251590', '255250'], ['256450', '258250'], ['260630', '280170']]"
14,c15.cha,"['die geeft bloemen water .', 'die doet er water in .', 'geeft de bloemen water .', 'gaat ze gaat hij een bloempje plukken .', 'dat doet een aamplantser .', 'aamplantser die doet het in zijn haar .', 'die schopt met de bal .', 'die schopt ook die schopt bijna de bal in het water .', 'die die heeft een veertje grappig veertje .', 'die huilt . .', 'omdat zijn bal in het water is .', 'kijk die gaat de bal pakken .', 'kijk . nou heeft hij hem .', 'hij pakt de bal .', 'kijk . nou heeft hij de bal .', 'die wil een ijsje hebben .', 'die heeft een die heeft nou een ijsje .', 'en die mag eentje aan de heks geven & he .', 'hij heeft hem nog steeds niet op .', 'nee .', 'nou en nou slikt hij ervan .', 'ja .', 'gaat hij weer een ijsje kopen .', 'die gaat naar de boom lopen .', 'nou klimt hij op de boom .', 'nou komt er een man eraan .', 'nou zet hij hem weg .', 'nou zet hij hem bij de andere boom .', 'kan hij ook klimmen .', 'nou staat hij op de boom maar wat te huilen .']","[['240', '1340'], ['1640', '7680'], ['8080', '12080'], ['19680', '22520'], ['28480', '29840'], ['72100', '81960'], ['94580', '96920'], ['103880', '109640'], ['111660', '120620'], ['122600', '123120'], ['124780', '126640'], ['127240', '131800'], ['137080', '139600'], ['146360', '148260'], ['182500', '183000'], ['179900', '181700'], ['184600', '187000'], ['189700', '194540'], ['201440', '203540'], ['204900', '205400'], ['205840', '212560'], ['215420', '215920'], ['248370', '248950'], ['252830', '254610'], ['255990', '259610'], ['263350', '264930'], ['269070', '275550'], ['273890', '276090'], ['277230', '278210'], ['281230', '285430']]"
