filename,utterances,timestamps
td27.cha,"['het meisje met de gieter ', 'balletmeisje met de gieter ', 'het balletmeisje doet water in de gieter ', 'en het balletmeisje gaat met de gieter naar de bloemen ', 'en ze gaat de bloemen nat make sproeien ', 'de verpleegster pakt de bloem ', 'en geeft die aan t balletmeisje ', 'het balletmeisje doet het in haar haar ', 'de piraat heeft de bal ', 'hij schopte in het water ', 'nu moet ie huilen ', 'de ridder heeft een visnet ', 'en de ridder haalt de bal uit het water ', 'en geeft m aan de piraat ', 'nu is de piraat weer blij ', 'de prinses koopt een ijsje ', 'ze likt aan t ijsje ', 'ze geeft het ijsje aan de heks ', 'de heks kijkt naar het ijsje ', 'de heks likt ook aan het ijsje ', 'en de prinses loopt weer terug naar de ijskraam om een ijsje weer een nieuw ijsje te kopen ', 'de indiaan ziet een boom met appels erin ', 'hij gaat op de steen staan ', 'en probeert de appel te pakken ', 'hij valt er hij valt van de steen af ', 'en de brandweerman met de ladder pakt de appel ', 'en hij geeft de appel aan de indiaan ', 'en de indiaan lacht weer ']","[['110', '1930'], ['5170', '7570'], ['8510', '12010'], ['14230', '19470'], ['19170', '22650'], ['23790', '27690'], ['28890', '32270'], ['33890', '37410'], ['37970', '39810'], ['41210', '44430'], ['47210', '48430'], ['51910', '53590'], ['53530', '58870'], ['61010', '62810'], ['63730', '65450'], ['66510', '68270'], ['69670', '72770'], ['77220', '80660'], ['81200', '86120'], ['87820', '91960'], ['95680', '102300'], ['103300', '106100'], ['107340', '111920'], ['111840', '113420'], ['115830', '119110'], ['120330', '127330'], ['127730', '133050'], ['133680', '164160']]"
td33.cha,"['een balletmeisje heeft een gieter in r hand ', 'ze vult de gieter met water ', 'ze geeft het aan de bloemen met de zuster ', 'de zuster plukt een bloem van ', 'het meisje zegt', 'hé blijf van mn bloemen af !', 'de zuster geeft het aan de & bla & bla & ble & bla & bla & bla meisje balletmeisje ', 'hij doet hem in haar haatjes ', 'een piraat heeft een bal vast ', 'hij schopt hem in de zee met zn houten been ', 'hij ligt in het water ', 'en er staat een ridder bij ', 'en de ridder heeft een net ', 'en hij vist de bal uit het water ', 'bedankt ', 'mijn bal ', 'de: koningin ging naa:r ijsje halen ', 'ze geeft één euro ', 'lekker ijsje ', 'daar komt de heks tegen ', 'ze geeft de heks een likje ', 'en de heks heeft het ijsje afgepakt ', 'stoute heks ', 'en ze gaat weer opnieuw een hijsje halen ', 'de indiaan liep naar de boom ', 'hij wou een appel pakken ', 'en toen kwam de brandweerman dr aan met een ladder ', 'en toen pakte de cowboy bedoel ik een appel voor haar ', 'en toen gaf tie de appel aan de indiaan ', 'bedankt ', 'een appel ']","[['260', '3200'], ['3460', '6180'], ['7520', '9620'], ['11140', '13960'], ['13960', '14860'], ['15280', '16860'], ['19960', '26500'], ['28920', '33460'], ['34800', '50300'], ['38290', '42450'], ['44310', '47270'], ['47410', '49110'], ['50230', '54290'], ['55430', '58510'], ['59650', '62210'], ['62510', '63270'], ['64170', '67590'], ['67710', '69090'], ['69690', '70550'], ['74620', '76780'], ['76680', '78640'], ['80400', '84540'], ['86300', '89940'], ['93320', '96100'], ['96680', '100300'], ['100700', '104340'], ['105420', '112140'], ['114540', '120880'], ['124300', '127160'], ['130260', '131020'], ['131200', '131640']]"
td32.cha,"['een meisje xxx', 'nou ik', 'een balletmeisje die heeft een gieter vast ', 'en die vult m & ehm met water ', 'en ze sproeit de bloemen ', 'en daarna komt ze de ziekenhuismevrouw tegen ', 'en dan plukt die ziekenhuismevrouw een bloem ', 'en dan lijkt het erop dat ze m aan dat meisje balletmeisje geeft ', 'en dan doet dat balletmeisje hem in haar haar ', 'de dief nee de piraat heeft een voetbal vast ', 'hij schopt ermee ', 'maar hij valt in t water ', 'en er staat een ridder bij met met een stok en waar een net aan zit ', 'en hij vist hem uit t water ', 'en de piraat heeft de bal weer ', 'de prinses geeft een één euro aan aan de aan de ijskarretje aan de ijscoboer ', 'en daar zit & ehm xxx nou ', 'nou aan de meneer die in de ijskar zit en voor een ijsje ', 'en de prinses heeft een ijsje met drie bolletjes ', 'en geeft t nou aan de heks ?', 'volgens mij geeft hij m aan de heks ', 'ja ', 'ze geeft m aan de heks ', 'en de heks likt eraan ', 'en vraagt ze nog een keer een ijsje ', 'een indiaan loopt bij een boom bij een appelboom met een steen ', 'hij kan hij wilt een appeltje plukken ', 'maar hij kan er niet bij ', 'dus daarom', 'en toen ging die op de steen staan ', 'en toen viel die ', 'en toen kwam er een cowboy aan met een ladder ', 'en hij gi zette hem tegen de boom aan ', 'en pakte de appel ', 'en gaf m aan de indiaan ', 'en de indiaan was blij omdat die de appel had ']","[['240', '1300'], ['3480', '4600'], ['5320', '8640'], ['9320', '17420'], ['17360', '24440'], ['25740', '47840'], ['33620', '42020'], ['43080', '51760'], ['53990', '57770'], ['58190', '63090'], ['63710', '67730'], ['69670', '72870'], ['78360', '85200'], ['85980', '91160'], ['94840', '125240'], ['98480', '128840'], ['117100', '119460'], ['120740', '125900'], ['127280', '135340'], ['139350', '145290'], ['145390', '149690'], ['151890', '152390'], ['152990', '156690'], ['160180', '163860'], ['164560', '171280'], ['172580', '179080'], ['180890', '184450'], ['185450', '186770'], ['188930', '190370'], ['191250', '193390'], ['193630', '194670'], ['195870', '199650'], ['202310', '206830'], ['207010', '209010'], ['209330', '213210'], ['214830', '220170']]"
td26.cha,"['een ballerina heeft een gieter ', 'ze doet er water in ', 'ze geeft de plantjes water ', 'daar komt de zuster aan ', 'ze plukt een bloemetje ', 'dat bloemetje geeft ze aan de ballerina ', 'de ballerina doet & eh doet m tevreden in haar haar ', 'een piraat die heeft een bal ', 'hij schopt m ', 'maar jammer ', 'hij zit in een plas gevallen ', 'daar komt de ridder aan ', 'een een piraat huilt nog steeds ', 'de ridder heeft een schepnet ', 'die piraat kijkt hem aan ', 'de ridder pakt met het schepnet de bal uit de sloot ', 'de piraat is dolgelukkig ', 'en hij heeft de bal zn bal weer ', 'een prinses heeft een euro ', 'ze ziet een kraampje waar & ehm ze ijsjes verkopen ', 'ze heeft een lekker ijsje gekocht ', 'ze gaat ze gaat er blij mee naar huis ', 'en likt er aan ', 'dan komt er een heks aan ', 'het prinsesje geeft het ijsje aan de heks ', 'de heks vindt het heerlijk ', 'en likt er lekker aan ', 'dan heeft ze nog een eurootje ', 'en ze gaat weer naar t kraampje ', 'daar is een indiaan ', 'hij ziet dat er appeltjes aan de bomen staan ', 'er is een kei naast de boom ', 'hij gaat op de kei staan ', 'maar kan net niet bij een appeltje ', 'en hij valt van de stenen af ', 'daar komt de cowboy aan ', 'hij heeft een ladder in zn hand ', 'de cowboy klimt op de ladder ', 'en pakt een appel ', 'de appel geeft hij aan de indiaan ', 'de indiaan is dolgelukkig met zijn appel ']","[['500', '2440'], ['3380', '6600'], ['9240', '11100'], ['11140', '12480'], ['15540', '16540'], ['21940', '23260'], ['26440', '31820'], ['33240', '34840'], ['37120', '39260'], ['42540', '43860'], ['44480', '46100'], ['46180', '47500'], ['49200', '51280'], ['52440', '54980'], ['56260', '57760'], ['57680', '66700'], ['67160', '72400'], ['73560', '88160'], ['76030', '80510'], ['81050', '87190'], ['88550', '92250'], ['92750', '97410'], ['97330', '98410'], ['100310', '102550'], ['104490', '111410'], ['114830', '116770'], ['117290', '118590'], ['121470', '124030'], ['124850', '127110'], ['129190', '130890'], ['133890', '136770'], ['137150', '139210'], ['141910', '143410'], ['143410', '145410'], ['146230', '150290'], ['150630', '152130'], ['152150', '153610'], ['157500', '160360'], ['160380', '161440'], ['162320', '167000'], ['169700', '173740']]"
td30.cha,"['de indiaan wijst naar een appelboom ', 'hij pro hij staat op een steen ', 'en probeert een appel te pakken ', 'hij valt van de steen af ', 'maar dr komt een boer aan met een ladder ', 'de boer klimt & eh zet de ladder tegen de boom aan ', 'en klimt op de ladder ', 'en pakt een appel ', 'en geeft de appel aan de indiaan ', 'de indiaan heeft de appel vast ', 'de fee loopt met een munt naar de ijscoman ', 'ze heeft een ijsje gekocht ', 'en ze likt aan t ijsje ', 'ze geeft het ijsje aan de heks ', 'de heks heeft t ijsje vast ', 'en de heks likt eraan ', 'de f & eh de koningin fee', 'koningin loopt meer naar weer naar de ijscoman met de munt ', 'de piraat heeft een bal ', 'de de piraat schopt de bal ', 'de piraat huilt omdat zn bal in de zee ligt ', ' en de ridder kijkt m aan ', 'de ridder pakt een & ehm visnet ', 'en vist de bal op ', 'en geeft hem teru ', 'en de piraat heeft de bal weer ', 'de fee heeft een gieter ', 'ze doet water in de gieter ', 'ze gooit t & ehm & eh ze gooit t water over de bloemen ', 'en die & eh dokter kijkt ', 'de dokter plukt een bloem ', 'en geeft m aan de fee ', 'de fee doet m in haar haar ']","[['260', '2180'], ['3020', '7520'], ['7340', '8940'], ['9980', '13020'], ['13140', '15220'], ['17240', '21640'], ['22000', '23700'], ['23720', '24740'], ['25380', '30300'], ['32740', '34760'], ['35860', '38980'], ['39700', '43440'], ['44080', '46240'], ['47480', '51220'], ['53780', '55680'], ['58160', '60060'], ['60900', '67600'], ['69180', '74420'], ['75140', '76980'], ['77970', '80790'], ['81310', '87670'], ['88790', '91090'], ['92930', '94990'], ['95540', '99860'], ['100680', '103840'], ['103820', '106900'], ['106920', '108660'], ['109800', '112320'], ['115020', '120700'], ['121100', '123380'], ['124040', '126920'], ['127400', '145340'], ['134020', '164160']]"
td24.cha,"['& eh daar is een ballerina ', 'en & eh die heeft een & eh gieter in haar hand ', 'en die gieter vult ze bij een kraan ', 'en & eh daar begiet ze de planten mee ', 'en er zit ook nog een & eh dokter bij ', 'de dokter plukt een plaar paar bloemen ', 'dan heeft ze ook mooie bloemen ', 'en één van die bloemen geeft ze aan de ballerina ', 'en die stopt t in haar haar ', 'hij schiet de bal richting de vijver ', 'alleen & oh & oh nee de bal ligt in de vijver ', 'en de ridder staat toe te kijke ', 'de ridder pakt een net ', 'en pakt de bal uit de vijver ', 'dan kan de piraat weer voetballe ', 'de koningin wil een ijsje gaan kope ', 'en hij koopt dr één met drie bolletjes ', 'dat & eh geeft ze aan een heks met echt een hele lelijke pukkel ', 'en die heks vindt het zo te zien ook heel lekker ', 'ja echt wel lekker ', 'en & eh nou komt wilt ze nog één kopen voor zichzelf ', '& eh de indiaan wil & eh appels plukken uit n & eh appelboom ', 'en & eh ze gaat op een steen staan ', 'en kan er bijna bij ', 'en dan valt ie ', 'en hij ziet een cowboy ', 'en die pakt een ladder ', 'die cowboy zet de ladder tegen een boom aan ', 'en pakt er een appel uit ', 'die geeft ie aan de indiaan ', 'die indiaan is er blij mee ']","[['850', '1850'], ['2130', '4890'], ['5690', '9690'], ['11770', '17050'], ['17290', '19190'], ['21000', '23020'], ['23140', '24140'], ['25380', '28440'], ['29440', '33040'], ['33880', '40020'], ['43080', '46280'], ['46900', '48300'], ['48800', '51480'], ['52860', '55380'], ['58300', '59720'], ['60200', '61900'], ['63500', '65600'], ['66380', '72280'], ['73400', '77560'], ['79540', '82220'], ['85760', '89320'], ['89740', '96020'], ['96700', '100080'], ['99860', '100900'], ['102200', '104620'], ['105850', '106530'], ['106630', '107650'], ['108830', '112490'], ['112230', '113370'], ['115690', '116750'], ['120170', '121630']]"
td18.cha,"['een indiaan wijst xxx naar een appelboom ', 'en loopt er naar toe ', 'hij & eh staat op een steen ', 'en plukt een appel uit die boom ', 'maar hij vielt ', 'en t is mislukt ', 'en daar komt een cowboy aan met een ladder ', 'en hij zet em tegen de boom ', 'en plukt een appel ', 'en de cowboy geeft de appel aan de indiaan ', 'en hij en hij smult van en hij heeft de appel ', 'en die eet hij gaat hij opete ', 'een prinses gaat naar een & eh ijscoman ', 'en en wil een ijsje kopen ', 'en ze heeft een ijsje ', 'en die likt ze eraan ', 'en dan ziet ze een heks ', 'en geeft ze haar haar ijsje ', 'en de heks & eh vond dat heel aardig ', 'en hij nam ook lik ', 'en toen ging prinsesje weer naar de ijscoman ', 'en wou weer een ijsje kope ', 'de piraat speelt met een bal ', 'hij trapt em in de plas ', 'en toen was hij verdrietig omdat hij in t water was ', 'maar nu daar komt de ridder aan ', 'en die ridder heeft een net bij zich ', 'misschien kunnen ze hem uit t water halen ', '& jee we hebben de bal ', 'nu kan ik er weer mee spelen ', 'dankje wel ', 'een mei een ballerina had een tuingieter ', 'en daar deed ze wat ging ze naar de kraan ', 'en deed ze wat water dr in ', 'en toen ging ze dat over de plantjes doen ', 'over de bloemen ', 'en kijk daar is de zuster ', 'en die zuster plukt een bloem voor het meisje ', 'en geeft hem aan t meisje ', 'en die bloem doet ze in haar haar ']","[['370', '4970'], ['6210', '7670'], ['9570', '11710'], ['11810', '14150'], ['17490', '18610'], ['18450', '20050'], ['20810', '23490'], ['24630', '28610'], ['28530', '29690'], ['30570', '36330'], ['39680', '47900'], ['48680', '50900'], ['51840', '57120'], ['58120', '62480'], ['63620', '67080'], ['67620', '69980'], ['71840', '76400'], ['76250', '79450'], ['80270', '88010'], ['91910', '93850'], ['97420', '102840'], ['104540', '106660'], ['107260', '110000'], ['111340', '115660'], ['118800', '123600'], ['124260', '126560'], ['127240', '131720'], ['132340', '135260'], ['140700', '141900'], ['142760', '148580'], ['149420', '150320'], ['151980', '156520'], ['160180', '163580'], ['163620', '165500'], ['167820', '171800'], ['172280', '173220'], ['173800', '176480'], ['179480', '185420'], ['185660', '187620'], ['190740', '193580']]"
td19.cha,"['het balletmeisje heeft een gieter ', 'ze doet er water in ', 'en zorgt voor de plantjes ', 'de brand de ambulancevrouw die wil ook een plantje ', 'of een bloem ', 'van van t meisje mag het ', 'de t meisje heeft er ook één ', 'de piraat heeft een bal ', 'hij schopt de bal naar t water ', 'hij moet huilen ', 'want de bal ligt in t water ', 'de ridder komt er ook aan met een netje ', 'en hij pakt de bal uit t water ', 'de piraat is weer blij', 'met zn bal ', 'de koningin staat bij de ijskraam ', 'ze heeft een lekker ijsje ', 'de heks wil ook een hapje ', 'dat mag van de koningin ', '& eh ja ', 'nou dan neemt de heks ook een lik ', 'en dan neem de koningin dr ook nog één ', 'de indiaan & eh kijkt naar een appelboom ', 'hij wil een appel ', 'dan komt de cowboy dr aan met een trap ', 'die pakt een appel ', 'en geeft em aan de indiaan ', 'de indiaan is heel blij ']","[['400', '2240'], ['3480', '8440'], ['9240', '13580'], ['19330', '22770'], ['23950', '24590'], ['27350', '30750'], ['32670', '39810'], ['39840', '41960'], ['42440', '46180'], ['47480', '50240'], ['50300', '51760'], ['55180', '57400'], ['60180', '62480'], ['63640', '66680'], ['67120', '68620'], ['68920', '72360'], ['75400', '76800'], ['80040', '81080'], ['82060', '86340'], ['88120', '88620'], ['97100', '99940'], ['101550', '105090'], ['105290', '108330'], ['110010', '111050'], ['111830', '117710'], ['119590', '120690'], ['123160', '125180'], ['126840', '129440']]"
td25.cha,"['de indiaan gooit de boom om ', 'of hij vangt een de indiaan vangt een appel ', 'ja ', 'van de boom ', 'okee nou komt de volgende ', 'hij probeert de appel te vangen ', 'maar het lukt em niet ', 'hij rent er al achterna ', 'de indiaan valt ', 'de andere indiaan komt ook ', 'om een appel te vangen ', 'en aan de indiaan te gooien ', 'hij gooit de appel op de indiaan ', 'de indiaan valt om ', 'de indiaan valt om ', 'het varken die geeft em een appel ', 'de indiaan zegt', 'dank je wel ', 'varken parken ', 'is d koningin ?', 'de koningin wil een ijsje kope ', 'ze heeft g wel geld ', 'maar nie genoeg ', 'ze moest naar de pinautomaat ', ' wat gebeurt er dan op dit plaatje ?', 'hij eet t ijsje op ', 'zij ', 'hij geeft hij geeft het andere ijsje aan & eh een heks ', 'met een lange neus ', 'de heks ', 'nou moet ze weer een ijsje kopen ', 'de Pietpiraat wil schoppen ', 't lukt niet ', 'want hij heeft een want hij heeft een houten voet ', 'hij schopt hem met zn houten voet ', 'houten voet breekt ', 'bal ligt in het water ', 'hij helpt ', 'de ridder die zegt', 'wat is er gebeurd ?', 'de ridder moet dr uit halen met een netje ', 'zegt de ridder ', 'de ridder vist t net uit ', 'en de Pietpiraat is blij ', '& eh de danseres wil bloemetjes water geven ', 'hij moet wel water hebben ', 'ze pakte een beetje water uit de kraan xxx ', 'hij gaat bloempjes', 'er komt een zuster aan ', 'plukt een bloemetje ', 'niet doen ', 'zegt de zangeres', 'alsjeblieft ', 'dank je wel ', 'zegt de zangeres ', 'ze xxx heel blij ', 'ze was heel blij ']","[['750', '4750'], ['9170', '15750'], ['17110', '17610'], ['24750', '26450'], ['26610', '27950'], ['29830', '34810'], ['35330', '36830'], ['36570', '38330'], ['41490', '44050'], ['45450', '50310'], ['54570', '56490'], ['57270', '60070'], ['60970', '68750'], ['77520', '78740'], ['83260', '84520'], ['85380', '90220'], ['91840', '95720'], ['96300', '96980'], ['97440', '98660'], ['107880', '110820'], ['113220', '115400'], ['115500', '121820'], ['122720', '123560'], ['124800', '126520'], ['128900', '130820'], ['132660', '135780'], ['136580', '137080'], ['139000', '143460'], ['144780', '145960'], ['188010', '188510'], ['178520', '181720'], ['182800', '187100'], ['186780', '187580'], ['187520', '190160'], ['190820', '194660'], ['194860', '195940'], ['200250', '201330'], ['201890', '202730'], ['203570', '208890'], ['210410', '211150'], ['219370', '220530'], ['221310', '222230'], ['223310', '239090'], ['233680', '235500'], ['236580', '245660'], ['249340', '254980'], ['255440', '257780'], ['264120', '265100'], ['266300', '279820'], ['270980', '272220'], ['272820', '274040'], ['274000', '277500'], ['282980', '285540'], ['286400', '287400'], ['287560', '288600'], ['294960', '296400'], ['300180', '302620']]"
td31.cha,"['een een balla een ballerina geeft de plantjes water ', 'ze loopt naar de kraan ', 'ze geeft de plantjes water ', 'de dokter plukt een bloem ', 'de dokter geeft hem aan de ballalina ballarina ', 'de ballerina stopt m in haar haar ', 'een piraat gaat voetballen ', 'hij schopt m de bal ', 'de bal valt in t water ', 'de ridder komt met een net ', 'die haalt de bal uit t water ', 'de piraat is weer blij ', 'hij heeft zn bal terug ', 'het prinsesje die wil een ijsje ', 'ze gaat naar de ijscoman ', 'ze heeft een ijsje ', 'ze eet m op ', 'ze geeft m aan de heks ', 'de heks die heeft t ijsje ', 'de heks eet het ijsje op ', 'de prinses gaa die wil een ijsje ', 'ze gaat naar de ijscoman ', 'gaat ze twee keer naar de ijscoman om dr nog ééntje voor haarzelf te kopen ', 'de indiaan loopt naar een boom ', 'hij wil een appel plukke ', 'de indiaan valt ', 'de cowboy die komt met een ladder ', 'hij plukt een appel voor de indiaan ', 'de cowboy geeft m aan de indiaan ', 'de indiaan is weer gelukkig ']","[['4710', '8910'], ['10150', '14650'], ['17230', '19090'], ['23490', '25690'], ['26270', '35250'], ['37950', '39950'], ['40550', '42030'], ['44270', '46590'], ['46670', '50810'], ['51670', '56230'], ['57290', '60590'], ['64340', '66200'], ['66160', '67120'], ['68220', '71760'], ['71760', '72960'], ['73900', '77340'], ['77440', '78440'], ['80440', '82560'], ['82490', '88450'], ['88890', '93590'], ['96650', '100210'], ['100230', '101310'], ['104650', '109050'], ['109730', '113050'], ['115770', '117250'], ['118770', '122170'], ['122660', '127500'], ['127800', '129600'], ['130460', '134260'], ['134900', '138180']]"
