,filename,utterances,timestamps
0,c20.cha,"['een meisje die gaat met de gieter ', 'die doet die gaat de kraan opendoen ', 'en die gaat m volmaken ', 'en dan gaat ie dan gaat de dokter en de meisje bloemetjes zaaien bloemetjes xxx ', 'en de dokter die plukt een bloem ', 'en hij geeft de bloem aan dat meisje ', 'en hij doet hem op zn hoofd ', 'een piraat die gaat voetballen ', 'die schopt m in het water ', 'en dan komt de ridder ', 'die gaat de bal vangen ', 'die heeft de bal in t net ', 'en daar hebt de piraat de bal weer terug ', 'een prinses die hebt een centje één cent ', 'die krijgt een ijsje ', 'dat geeft ie aan de heks ', 'dan wordt de heks blij ', 'dan gaat hij m opeten ', 'dan gaat ie nog eentje doen ', 'een indiaan die wilt een appel hebben ', 'hij doet zn ladder op de boom ', 'en hij pakt m ', 'en dan doet hij en dan gaat de cowboy m wegpakken ', 'en dan gaat de cowboy naar een andere appelboom toe ', 'en dan mo en en en dan denkt hij dat zijn ladder weg is ', 'en dan is ie ook weg ']","[['740', '3620'], ['5000', '9500'], ['9760', '11560'], ['14580', '31120'], ['22990', '26630'], ['27410', '37970'], ['40730', '69110'], ['73130', '82230'], ['83990', '86850'], ['90070', '92210'], ['96550', '98330'], ['99730', '126570'], ['124240', '137560'], ['153620', '154160'], ['146480', '153260'], ['154640', '159240'], ['165360', '167280'], ['168380', '174100'], ['175840', '181100'], ['217990', '220730'], ['221650', '225870'], ['227110', '230270'], ['233820', '237900'], ['239000', '249480'], ['252000', '257880'], ['257720', '259020']]"
1,c08.cha,"['een meisje gaat de water bloemetjes geven ', 'en die doet er water in ', 'en die wil een bloemetje plukken aan de dokter ', 'en die pakt t bloemetje ', 'en geeft m aan de dokter ', 'en toen zei ze', 'en toen was ze zo lief ', 'de piraat gaat met de bal spelen ', 'en toen gooide die in t water ', 'en toen begon ie te huilen ', 'en toen kwam de ridder m pakken ', 'en toen was toen was de piraat zo blij ', 'en toen ging hij m uit het water halen ', 'en toen was ie heel blij ', 'de prinses ging een ijsje halen met een centje geven ', 'en toen vond ze t lekker ', 'en toen geef ze aan de heks ', 'en toen was de heks zo blij ', 'en en toen ging de heks m opeten ', 'en toen wou ze nog één voor haarzelf kopen ', 'de indiaan ging een appeltje halen ', 'en toen klim die met de ladder naar boven ', 'en toen kwam de cowboy draan ', 'en toen ging de boom krakken ', 'en toen haalde die ladder weg ', 'en toen ging de boom krakken ', 'en toen zat ie helemaal alleen in de boom ', 'en toen zei die', 'help ']","[['1460', '4380'], ['6880', '8880'], ['13100', '17480'], ['19520', '21840'], ['22140', '23880'], ['26640', '29680'], ['30180', '36260'], ['59990', '63470'], ['65670', '68330'], ['69270', '73330'], ['73550', '75890'], ['79250', '83990'], ['85610', '90550'], ['92550', '95370'], ['115650', '120130'], ['121630', '124270'], ['126130', '129090'], ['130650', '135190'], ['139170', '143290'], ['145650', '151910'], ['169950', '173050'], ['174910', '177910'], ['180270', '182630'], ['183390', '185230'], ['187170', '191350'], ['191490', '192830'], ['193610', '200030'], ['201310', '202950'], ['203410', '203910']]"
2,c09.cha,"['de elf heeft een gieter ', 'ze vult m met water ', 'en ze maakt de bloemetjes nat ', 'en de dokter kijkt erbij ', 'de dokter plukt m ', 'en de dokter geeft m aan de fee ', 'ik bedoel elf ', 'en de elf kijkt blij ', 'de piraat heeft een bal ', 'hij voetbalt ermee ', 'de bal komt in het water ', 'en de ridder komt eraan ', 'de ridder heeft een net ', 'daar vangt hij m ermee uit ', 'en de piraat kijkt weer blij met zn bal ', 'de prinses koopt een ijsje voor één euro ', 'ze eet m op ', 'ze geeft m aan de heks ', 'de heks is heel blij ', 'de heks eet m op ', 'en de prinses koopt dr nog een ', 'de indiaan gaat naar de boom ', 'hij klimt op zn ladder in de boom ', 'de cowboy komt eraan ', 'en hij haalt de trap weg ', 'nou kan de indiaan dr niet meer af ', 'help ']","[['690', '3030'], ['7590', '9290'], ['13530', '16090'], ['16130', '17910'], ['21800', '23600'], ['24240', '29680'], ['29820', '30800'], ['33880', '35400'], ['59390', '61570'], ['61610', '65590'], ['65870', '70010'], ['69930', '71210'], ['72850', '76890'], ['78810', '80790'], ['82390', '86290'], ['114340', '117880'], ['118820', '122760'], ['123700', '126580'], ['127320', '130940'], ['162960', '163560'], ['167740', '168360'], ['166720', '168960'], ['169320', '174160'], ['174700', '178720'], ['179880', '184800'], ['187990', '189950'], ['191450', '194150']]"
3,c21.cha,"['ze heeft de gieter vast ', 'ze gaat water indoen ', 'de zuster die komt ', 'de zuster plukt bloemetjes ', 'de zuster heeft iets een bloemetje in dr hand ', 'ze doet het bloemetje in dr haar ', 'een piraat heeft de bal vast ', 'schopt hem in t water ', 'komt de ridder ', 'de ridder heeft iets in de hand ', 'de ridder vangt de bal uit t water ', 'piraat heeft de bal weer vast ', 'de prinses wilt een ijsje kopen ', 'ze heeft een ijsje in haar hand ', 'ze geeft het ijsje aan de heks ', 'de heks heeft een ijsje in de hand ', 'de heks likt erop ', 'ze koopt nog een ijsje ', 'de indiaan wil met de boom ', 'hij klimt op de ladder ', 'de cowboy kwam ', 'hij deed de ladder draf ', 'en nam m mee ', 'hij wilde dr niet meer vanaf ']","[['1260', '2980'], ['3200', '8580'], ['10360', '16040'], ['20200', '22020'], ['24780', '31520'], ['34600', '36400'], ['56370', '58510'], ['60010', '63270'], ['64450', '68230'], ['69260', '77220'], ['77480', '83360'], ['117750', '118270'], ['106140', '111520'], ['115380', '118680'], ['118540', '124380'], ['127740', '131560'], ['133440', '136780'], ['138020', '140700'], ['159630', '161310'], ['165340', '166200'], ['171560', '173360'], ['174460', '179060'], ['180400', '182900'], ['215640', '216220']]"
4,c23.cha,"['danseres met een gieter ', 'doet hij t water in de gieter ', 'doet ie een kraan in de gieter ', 'en dan giet ze de bloemen ', 'en dan plukt de dokter een bloem ', 'en dan geeft ie aan de danseres ', 'dan doet hij t op zijn haar ', 'een piraat met een voetbal ', 'en hij ligt in t water ', 'en dan komt de ridder met een net ', ' en de piraat ', 'en dan vangt de ridder die bal uit t water ', 'en dan heeft de piraat weer de voetbal ', 'een prinses bij de ijsco ', 'en nu heeft ie een ijsje ', 'en dan komt de heks ', 'en die vraagt aan de aan aan de prinses', 'mag ik da ijsje ?', 'dankjewel ', 'zei de heks ', 'toen eette de heks die op ', 'toen kwam de prinses weer bij de ijsco ', 'de indiaan bij de appelboom ', 'dan pakt ie een appel ', 'en dan komt de cowboy ', 'en die pakt de ladder af ', 'toen neemde de cowboy die mee ', 'en toen zei die de indiaan', '& oei de ladder is weg ']","[['1220', '2960'], ['7680', '9780'], ['10060', '13920'], ['18020', '20880'], ['21440', '28680'], ['31900', '47760'], ['65000', '65600'], ['65940', '74680'], ['76120', '85640'], ['87120', '97160'], ['98160', '99180'], ['99520', '106900'], ['108800', '112660'], ['159700', '160320'], ['177930', '181630'], ['183410', '185950'], ['185990', '190110'], ['190490', '191390'], ['191490', '191990'], ['195230', '196230'], ['200600', '203460'], ['204940', '209080'], ['254800', '255360'], ['248980', '250080'], ['250040', '251220'], ['252770', '255130'], ['256670', '261150'], ['261790', '267110'], ['267610', '269190']]"
5,c22.cha,"['deze weet ik niet ', 'hij gaat de plantjes water geven ', 'en hij gaat naar de kraan ', 'en gaat de kraan aandraaien ', 'en dan komt er water uit ', 'en dit weet ik niet ', 'de dokter wil een bloem ', 'en hij geeft die aan de danseres ', 'hij stopt m in haar haren ', '& ehm Pietpiraat wil de bal ', 'en hij schopt de bal in de water ', 'maar hij is verdrietig ', '& ehm da xxx zegt', 'dat is een beetje dom ', 'maar ik heb me bal in de water', 'en ik heb wel een net ', 'ik kan m wel opvangen ', 'zei de piraat ', 'de prinses wil een ijsje ', 'hij moet één euro betalen ', 'dan krijgt ie een ijsje ', '& ehm de prinses zei', 'ik wil wit ', 'ik wil donker groen ', 'en ik wil grijs ', 'en toen zei de toen kwam er een heks aan ', 'en die wilde die een ijs die ijsje ', 'dus toen zei de prinses', 'jij mag die wel ', 'ze had m xxx de heks', 'lekker ', 'ging die m opeten ', 'weer een centje geven voor zichzelf ', 'de indiaan wilt een appel', 'hij klimt op t laddertje ', 'en pakt de appel ', 'en kwam er een cow cowboy aan die dat appeltje wilde ', 'en toen kwam hij & ehm ', 'de cowboy zei & ehm ', 'hij gaat de laddertje wegpakken ', 'en & ehm ', 'en die gaat ie daar even wachten ', 'en gaat ie zelf even appeltje pakken ', 'en dan gaat ie bijna vallen ']","[['950', '3290'], ['7810', '13250'], ['17390', '18790'], ['18500', '21980'], ['22600', '23940'], ['27520', '32680'], ['42460', '45260'], ['49700', '54040'], ['81650', '92870'], ['94760', '95980'], ['96580', '100180'], ['103100', '108100'], ['115660', '116080'], ['116380', '117580'], ['118920', '121060'], ['125380', '129060'], ['129080', '130480'], ['138710', '145810'], ['162730', '164710'], ['166630', '168350'], ['168690', '170070'], ['182180', '183500'], ['184220', '185000'], ['185180', '189140'], ['189660', '191160'], ['193460', '197380'], ['197360', '202740'], ['204060', '206180'], ['207060', '208220'], ['212200', '214440'], ['214980', '215480'], ['217060', '218820'], ['232280', '236620'], ['265110', '266810'], ['268170', '272090'], ['272670', '274110'], ['277210', '283410'], ['289160', '291700'], ['291700', '298740'], ['303500', '306640'], ['310960', '311460'], ['308760', '318120'], ['318240', '320740'], ['321040', '325900']]"
6,c26.cha,"['ja ', 'nee ', 'gaat ze water drin doen ', 'en dan gaat ze de bloemeren bloemetjes water geven ', 'gaat ze en dan gaat de zuster ofzo een bloemetje pakken ', 'en die geeft ze aan de', 'doet ze in ze haar ', 'piraat gaat voetballen ', 'en hij schopt m ', 'en hij ligt in de water ', 'weet ik niet ', 'gaat ie de bal vangen ', 'dan is tie blij ', 'gaat de prinses een ijsje kopen ', 'weet ik niet ', 'dan geeft ze m aan de heks ', 'gaat de heks t ijsje opeten ', 'nu gaat de heks zn ijsje opeten ', 'gaat de prinses weer een ijsje kopen ', 'gaat de indiaan appels uit de boom halen ', 'en dan klimt ie in de boom ', 'dan gaat hij een appel ope pakken ', 'dan gaat de ladder weg ', 'dan gaat de cowboy m gebruiken ', 'nu kan die niet meer naar beneden ']","[['17260', '17760'], ['43250', '43750'], ['58470', '62090'], ['69280', '74400'], ['80110', '86390'], ['89570', '92630'], ['101970', '105850'], ['132760', '134000'], ['140380', '141680'], ['143880', '154540'], ['186580', '187980'], ['197060', '199780'], ['200460', '205260'], ['221600', '224880'], ['249060', '251680'], ['265240', '270380'], ['294650', '300210'], ['342810', '346110'], ['349650', '352490'], ['373970', '378710'], ['381900', '385640'], ['386720', '392600'], ['396780', '399700'], ['406310', '418990'], ['419770', '423610']]"
7,c32.cha,"[' ja ', 'die gaat de planten water geven ', 'de danseres gaat de', 'ja ', 'maar ik weet niet hoe dat heet ', 'ja gieter ', 'dat wist ik niet meer ', 'nee ', 'danseres gaat de bloemetjes water geven ', 'en toen ging de', 'hoe heet ie ook alweer ?', 'zuster een bloemetje plukken ', '& ehm en toen gaf ze m aan de danseres ', 'en toen had ze m op zijn haar gedaan ', 'de Pietpiraat gaat met de bal spelen ', 'en hij schopt hem in t water ', 'en hij huilde ', 'en deze vind ik een beetje moeilijk ', 'ja ', 'de ridder gaat de Pietpiraat in de gevangenis doen ', 'en hij vist de bal deruit ', 'uit t water ', 'en toen had ie weer de bal ', 'de prinses wou een ijsje kopen ', 'en toen ging ze m opeten ', 'en toen had hij m aan de heks gegeven ', 'en toen ging die m opeten ', 'en toen ging die & ehm draan likken ', 'en toen wou die nog een ijsje ', 'de ', 'ja ', 'ja ', '& ehm indiaan !', 'hij gaat een appel uit de boom pakken ', 'en toen ging die op de trappe klimmen ', 'en toen had en toen zat ie in de boom ', 'en toen pakte die de trap weg de cowboy ', 'en toen wilde [///] durf die dr niet uit ', 'en toen zei die', 'help !']","[['39520', '40020'], ['14940', '20200'], ['25820', '32420'], ['49780', '50280'], ['50320', '53440'], ['55080', '55720'], ['56040', '57420'], ['57300', '57800'], ['81860', '83960'], ['86780', '92740'], ['92980', '94240'], ['94720', '100120'], ['103690', '111650'], ['113510', '118930'], ['142530', '146170'], ['146630', '153750'], ['156030', '158970'], ['164410', '167750'], ['168410', '168910'], ['171350', '175870'], ['176190', '182570'], ['183330', '184710'], ['187750', '190390'], ['214520', '217700'], ['218560', '223800'], ['225220', '229360'], ['233100', '247140'], ['269460', '281200'], ['287460', '288060'], ['281320', '282900'], ['297960', '298460'], ['300640', '301140'], ['311420', '311920'], ['316500', '319260'], ['321140', '324240'], ['325560', '330220'], ['331900', '337060'], ['339300', '343440'], ['344120', '350220'], ['350540', '351040']]"
8,c33.cha,"[' hij heeft een gieter ', 'hij geeft de bloemen water ', 'de ziekenhuis die pakt t ', 'en nu heeft ie de xxx uit ', 'hij doet een bloem op zn haar ', 'de piraat heeft een bal in zn hand ', 'hij gaat ermee voetballen ', 'hij is in t water gevallen ', 'pakt een visse ', 'de ridder heeft de bal ', 'de piraat heeft m weer ', 'de tovenaar koopt een ijsje ', 'die eet m op ', 'en hij geeft m aan iemand ', 'hij hij heeft een ijs in zn hand ', 'en hij eet m op ', 'dan koopt ie zelf nog een ijsje ', 'hij pakt een appel ', 'de indiaan die klimt op de trap ', 'en de indiaan die pakt weer de appel ', ' de meneer die pakt de trap af ', 'en die gaat naar de andere appelboom ', 'en en en hij hij is verdrietig ']","[['12100', '15960'], ['31880', '35220'], ['42910', '44070'], ['46550', '55830'], ['69730', '77410'], ['102910', '111270'], ['116330', '118990'], ['157140', '157780'], ['152580', '153960'], ['159520', '162840'], ['164540', '168800'], ['197980', '200020'], ['204160', '206060'], ['207520', '215300'], ['236000', '242260'], ['244620', '248600'], ['287330', '287910'], ['278950', '287450'], ['290550', '299510'], ['300080', '303980'], ['311480', '316100'], ['322820', '325300'], ['327520', '349700']]"
9,c27.cha,"['water geven aan de bloemen ', 'onder de kraan ', 'en dan geeft ze de bloemen water ', 'die dokter plukt de bloemen ', 'die bloemen geeft ze aan dat meisje ', 'die doet ze op zn haar ', 'met een bal aan t spelen ', 'die schopt m weg ', 'hij huilt ', 'de ridder pakt m ', 'met een net ', 'de bal ', 'hij vangt die bal op ', 'en dan hebt ie de bal weer ', 'prinses ', 'een ijsje ', 'hij eet die ijsje op ', 'dat ijsje geeft ze aan het d heks ', 'en de heks eet m op ', 'hij eet m op ', 'dan geeft ie een euro ', 'de ', ' weet ik niet meer ', 'hij gaat in de boom klimmen ', 'en dan klimt ie in de boom ', 'en dan haalt ie een appel ', 'en dan haalt ie de ladder weg ', 'en dan kan ie niet meer naar beneden ', 'en de tak gaat breken ']","[['20260', '22720'], ['26840', '29580'], ['29900', '36460'], ['42960', '45540'], ['45900', '51760'], ['52520', '58840'], ['81830', '87130'], ['90750', '92090'], ['92630', '97650'], ['101330', '104890'], ['112070', '113410'], ['113690', '114950'], ['117380', '119640'], ['124480', '126340'], ['154980', '155480'], ['156540', '160880'], ['162780', '164720'], ['168680', '173120'], ['176390', '178470'], ['182170', '183770'], ['185790', '188610'], ['211940', '212440'], ['223700', '227840'], ['232120', '235660'], ['238280', '240440'], ['242780', '244580'], ['246080', '250580'], ['254330', '256490'], ['257150', '261370']]"
